ID;Temperature;Isolate;Clutch;Nb_offspring;FirstClutchAge;LastClutchAge;DeathAge;Accidental_death;Volume_counted;InfectedStatus;Number of mature spores;Number of imature spores;Nb of white spores;cauliflowers;grapes
730;40;C18;9;71;24;67;NA;;150;not_inf;NA;NA;NA;no;no
739;40;C18;7;55;31;59;NA;;150;not_inf;NA;NA;NA;NA;NA
905;20;C24;11;76;13;67;NA;;150;not_inf;NA;NA;NA;no;no
906;20;C24;11;76;13;67;NA;;150;not_inf;NA;NA;NA;no;no
911;20;C24;5;48;18;56;NA;;150;not_inf;NA;NA;NA;no;no
916;20;C24;7;43;39;67;NA;;150;not_inf;NA;NA;NA;no;no
917;20;C24;4;24;21;67;NA;;150;not_inf;NA;NA;NA;NA;NA
919;20;C24;8;69;42;67;NA;;150;not_inf;NA;NA;NA;NA;NA
923;20;C24;10;39;24;67;NA;;150;not_inf;NA;NA;NA;no;no
925;20;C24;10;83;31;67;NA;;150;not_inf;NA;NA;NA;no;no
952;30;C24;10;73;31;67;NA;;150;not_inf;NA;NA;NA;no;no
959;30;C24;13;79;14;67;NA;;150;not_inf;NA;NA;NA;no;no
969;30;C24;6;41;39;59;NA;;150;not_inf;NA;NA;NA;no;no
973;30;C24;1;7;27;27;NA;;150;not_inf;NA;NA;NA;no;no
986;30;C24;9;57;21;67;NA;;150;not_inf;NA;NA;NA;no;no
989;30;C24;9;70;18;67;NA;;150;not_inf;NA;NA;NA;no;no
990;30;C24;13;85;31;67;NA;;150;not_inf;0;0;0;no;no
1005;40;C24;10;78;13;67;NA;;150;not_inf;NA;NA;NA;no;no
1008;40;C24;5;42;41;67;NA;;150;not_inf;NA;NA;NA;no;no
1014;40;C24;5;48;14;67;NA;;150;not_inf;NA;NA;NA;no;no
1015;40;C24;10;89;35;67;NA;;150;not_inf;NA;NA;NA;no;no
1021;40;C24;10;66;14;59;NA;;150;not_inf;NA;NA;NA;no;no
1022;40;C24;10;63;14;67;NA;;150;not_inf;NA;NA;NA;no;no
1023;40;C24;11;92;14;67;NA;;150;not_inf;NA;NA;NA;no;no
1025;40;C24;12;60;14;67;NA;;150;not_inf;NA;NA;NA;no;no
1028;40;C24;5;47;NA;67;NA;;150;not_inf;NA;NA;NA;no;no
1038;40;C24;10;67;14;67;NA;;150;not_inf;NA;NA;NA;no;no
1041;40;C24;2;10;14;NA;NA;;200;not_inf;NA;NA;NA;no;no
1044;40;C24;9;47;14;67;NA;;150;not_inf;NA;NA;NA;no;no
1045;40;C24;11;56;21;67;NA;;150;not_inf;NA;NA;NA;no;no
1053;CTRL;CTRL;14;65;13;67;NA;;150;not_inf;NA;NA;NA;no;no
1054;CTRL;CTRL;6;40;21;43;NA;;150;not_inf;NA;NA;NA;no;no
979;30;C24;NA;0;NA;NA;NA;;150;not_inf;NA;NA;NA;no;no
1079;CTRL;CTRL;11;63;21;64;NA;;150;not_inf;NA;NA;NA;no;no
1091;CTRL;CTRL;11;75;14;67;NA;;150;not_inf;NA;NA;NA;no;no
1092;CTRL;CTRL;14;71;14;56;NA;;150;not_inf;NA;NA;NA;no;no
1099;CTRL;CTRL;15;98;10;67;NA;;150;not_inf;NA;NA;NA;no;no
1100;CTRL;CTRL;13;81;10;67;NA;;150;not_inf;NA;NA;NA;no;no
89;30;C1;10;71;18;56;NA;;;lost;NA;NA;NA;NA;NA
163;20;C14;10;72;24;59;NA;;;lost;NA;NA;NA;NA;NA
278;40;C14;7;46;18;56;NA;;;lost;NA;NA;NA;NA;NA
151;20;C14;6;27;31;64;NA;;600;infected;267;50;NA;no;no
232;30;C14;1;1;14;14;NA;;600;infected;217;32;0;yes;yes
250;30;C14;1;1;43;NA;NA;;600;infected;211;8;1;yes;yes
251;40;C14;14;87;13;67;NA;;150;infected;1;1;0;no;yes
609;20;C18;3;5;14;67;NA;;600;infected;355;50;42;no;no
611;20;C18;5;30;14;31;NA;;900;infected;337;38;1;yes;no
621;20;C18;NA;0;NA;NA;NA;;450;infected;330;18;4;yes;yes
650;20;C18;1;1;14;14;NA;;450;infected;899;26;0;yes;yes
658;30;C18;4;25;14;27;NA;;900;infected;318;Not-repported;19;yes;no
712;40;C18;1;2;21;21;NA;;450;infected;464;39;6;no;yes
743;40;C18;2;8;53;56;NA;;150;infected;1;2;0;no;yes
744;40;C18;2;15;24;27;NA;;600;infected;364;24;0;yes;no
904;20;C24;2;7;13;31;NA;;300;infected;779;57;2;yes;no
943;20;C24;2;3;10;21;NA;;600;infected;202;50;1;no;yes
